seller_id,seller_short_code,seller_name,shop_url
1,BD101N7,Rocket Internet GmbH,https://www.daraz.com.bd/shop/rocket
3,BD101O4,Star Tech & Engineering Ltd,https://www.daraz.com.bd/shop/star-tech-engineering-ltd
7,BD101O8,La Mode,https://www.daraz.com.bd/shop/la-mode
8,BD101O9,Yellow,https://www.daraz.com.bd/shop/yellow
9,BD101OA,Sports World,https://www.daraz.com.bd/shop/sports-world
10,BD101OB,Ripon Store,https://www.daraz.com.bd/shop/ripon-store
11,BD101OC,New Steps,https://www.daraz.com.bd/shop/new-steps
19,BD101OL,Q Mobile,https://www.daraz.com.bd/shop/q-mobile
25,BD101OS,Perfect computers,https://www.daraz.com.bd/shop/perfect-computers
26,BD101OU,Symphony,https://www.daraz.com.bd/shop/smartphonessymphony/
31,BD101OZ,FG Apparels,https://www.daraz.com.bd/shop/fg-apparels
34,BD101P2,360 Lifestyle,https://www.daraz.com.bd/shop/360-lifestyle
37,BD101P5,OK Mobile,https://www.daraz.com.bd/shop/ok-mobile
39,BD101P7,Jutemart,https://www.daraz.com.bd/shop/jutemart
41,BD101P9,Quartel Infotech Ltd. â€œQILâ€,https://www.daraz.com.bd/shop/cmpl
43,BD101PB,Propel World Ltd.,https://www.daraz.com.bd/shop/propel-world-ltd
44,BD101PC,O Code,https://www.daraz.com.bd/shop/o-code
45,BD101PD,Huawei,https://www.daraz.com.bd/shop/huawei-s
49,BD101PH,Occult,https://www.daraz.com.bd/shop/occult
50,BD101PI,6 Degrees,https://www.daraz.com.bd/shop/6-degrees
52,BD101PK,"""Zinias Charms""",https://www.daraz.com.bd/shop/zinias-charms
54,BD101PN,Falah International,https://www.daraz.com.bd/shop/falah-international
58,BD101PS,BR Bazar,https://www.daraz.com.bd/shop/br-bazar
59,BD101PT,Sofel Telecom Ltd.,https://www.daraz.com.bd/shop/sofel-telecom-ltd
64,BD101PY,Doors,https://www.daraz.com.bd/shop/doors
65,BD101PZ,BD Mart eStore,https://www.daraz.com.bd/shop/bd-mart-estore
66,BD101R0,Ecstasy,https://www.daraz.com.bd/shop/ecstasy/
68,BD101R2,The Babyshop,https://www.daraz.com.bd/shop/the-babyshop
69,BD101R3,TAURUS,https://www.daraz.com.bd/shop/taurus
70,BD101R4,Tazrin & Nupur,https://www.daraz.com.bd/shop/tazrin-nupur
71,BD101R5,Veronique,https://www.daraz.com.bd/shop/veronique
73,BD101R7,"""Didars""",https://www.daraz.com.bd/shop/didars
74,BD101R8,Sample,https://www.daraz.com.bd/shop/sample
76,BD101RA,Arif Telecom,https://www.daraz.com.bd/shop/arif-telecom
79,BD101RD,Sweet Dreams,https://www.daraz.com.bd/shop/sweet-dreams
80,BD101RE,Afrah Fashion,https://www.daraz.com.bd/shop/afrah-fashion
82,BD101RG,Daraz Bangladesh,https://www.daraz.com.bd/shop/daraz-bangladesh
85,BD101RJ,DRM,https://www.daraz.com.bd/shop/drm
87,BD101RL,Islam Enterprise,https://www.daraz.com.bd/shop/islam-enterprise
